timestamp,class,name
19:38:6:529, __InstanceCreationEvent, audiodg.exe, 9596
19:38:7:576, __InstanceDeletionEvent, backgroundTaskHost.exe, 3468
19:38:8:635, __InstanceCreationEvent, svchost.exe, 16200
19:38:8:637, __InstanceCreationEvent, chrome.exe, 18412
19:38:10:774, __InstanceDeletionEvent, dllhost.exe, 17424
19:38:10:780, __InstanceCreationEvent, ctfmon.exe, 18520
19:38:17:32, __InstanceDeletionEvent, backgroundTaskHost.exe, 10064
19:38:18:94, __InstanceDeletionEvent, LogonUI.exe, 13804
19:38:21:219, __InstanceDeletionEvent, ctfmon.exe, 18520
19:38:21:235, __InstanceDeletionEvent, svchost.exe, 20364
19:38:26:479, __InstanceCreationEvent, svchost.exe, 12252
19:38:26:484, __InstanceCreationEvent, backgroundTaskHost.exe, 22524
19:38:27:518, __InstanceDeletionEvent, backgroundTaskHost.exe, 22524
19:38:35:933, __InstanceDeletionEvent, svchost.exe, 8248
19:38:41:135, __InstanceCreationEvent, dllhost.exe, 8284
19:38:45:331, __InstanceDeletionEvent, wermgr.exe, 6424
19:38:46:370, __InstanceDeletionEvent, dllhost.exe, 8284
19:38:47:417, __InstanceDeletionEvent, RuntimeBroker.exe, 7892
19:38:49:503, __InstanceCreationEvent, backgroundTaskHost.exe, 18460
19:38:55:770, __InstanceDeletionEvent, backgroundTaskHost.exe, 18460
19:38:56:829, __InstanceCreationEvent, chrome.exe, 13020
19:38:56:833, __InstanceCreationEvent, chrome.exe, 18684
